"","InputCategories","UserDefinedCategories","Type","NumOverlap","Pvalues","CorrectedPvalues"
"1","black","ADbyO_FC1.25__","User",16,0.00300307254562181,0.336344125109642
"2","black","HDbyO_FC1.25__","User",12,0.0273900298631299,1
"3","black","MSbyO_FC1.25__","User",56,9.9159572495798e-18,1.11058721195294e-15
"4","black","PDbyO_FC1.25__","User",12,0.684084255020432,1
"5","blue","ADbyO_FC1.25__","User",2,0.9999273938625,1
"6","blue","HDbyO_FC1.25__","User",1,0.999973872197641,1
"7","blue","MSbyO_FC1.25__","User",0,1,1
"8","blue","PDbyO_FC1.25__","User",15,0.935099334516775,1
"9","brown","ADbyO_FC1.25__","User",6,0.958923048508636,1
"10","brown","HDbyO_FC1.25__","User",7,0.823708998311829,1
"11","brown","MSbyO_FC1.25__","User",15,0.951012052770417,1
"12","brown","PDbyO_FC1.25__","User",23,0.205017917958526,1
"13","cyan","ADbyO_FC1.25__","User",2,0.925640613206292,1
"14","cyan","HDbyO_FC1.25__","User",2,0.883543063744602,1
"15","cyan","MSbyO_FC1.25__","User",0,1,1
"16","cyan","PDbyO_FC1.25__","User",32,6.50425182314981e-12,7.28476204192779e-10
"17","darkgreen","ADbyO_FC1.25__","User",1,0.790780202959773,1
"18","darkgreen","HDbyO_FC1.25__","User",2,0.391013651832937,1
"19","darkgreen","MSbyO_FC1.25__","User",0,1,1
"20","darkgreen","PDbyO_FC1.25__","User",3,0.530719301623529,1
"21","darkgrey","ADbyO_FC1.25__","User",5,0.0136986936282015,1
"22","darkgrey","HDbyO_FC1.25__","User",11,4.28385398522998e-08,4.79791646345758e-06
"23","darkgrey","MSbyO_FC1.25__","User",17,5.13960358483518e-09,5.7563560150154e-07
"24","darkgrey","PDbyO_FC1.25__","User",4,0.248202576356422,1
"25","darkorange","ADbyO_FC1.25__","User",1,0.717871651486203,1
"26","darkorange","HDbyO_FC1.25__","User",0,1,1
"27","darkorange","MSbyO_FC1.25__","User",9,0.00112882683558077,0.126428605585046
"28","darkorange","PDbyO_FC1.25__","User",2,0.662962650095145,1
"29","darkred","ADbyO_FC1.25__","User",0,1,1
"30","darkred","HDbyO_FC1.25__","User",0,1,1
"31","darkred","MSbyO_FC1.25__","User",0,1,1
"32","darkred","PDbyO_FC1.25__","User",1,0.95742554631061,1
"33","darkturquoise","ADbyO_FC1.25__","User",0,1,1
"34","darkturquoise","HDbyO_FC1.25__","User",0,1,1
"35","darkturquoise","MSbyO_FC1.25__","User",1,0.948145084437509,1
"36","darkturquoise","PDbyO_FC1.25__","User",0,1,1
"37","green","ADbyO_FC1.25__","User",8,0.815218871896429,1
"38","green","HDbyO_FC1.25__","User",6,0.890046345007898,1
"39","green","MSbyO_FC1.25__","User",28,0.071183232558116,1
"40","green","PDbyO_FC1.25__","User",13,0.933988985007537,1
"41","greenyellow","ADbyO_FC1.25__","User",1,0.996373577629176,1
"42","greenyellow","HDbyO_FC1.25__","User",0,1,1
"43","greenyellow","MSbyO_FC1.25__","User",2,0.999866781409049,1
"44","greenyellow","PDbyO_FC1.25__","User",3,0.997428624909575,1
"45","grey60","ADbyO_FC1.25__","User",0,1,1
"46","grey60","HDbyO_FC1.25__","User",0,1,1
"47","grey60","MSbyO_FC1.25__","User",1,0.99312119117761,1
"48","grey60","PDbyO_FC1.25__","User",0,1,1
"49","lightcyan","ADbyO_FC1.25__","User",1,0.932516256515603,1
"50","lightcyan","HDbyO_FC1.25__","User",3,0.408580633687731,1
"51","lightcyan","MSbyO_FC1.25__","User",2,0.973141202225417,1
"52","lightcyan","PDbyO_FC1.25__","User",7,0.20562739564913,1
"53","lightgreen","ADbyO_FC1.25__","User",8,0.000851833541567206,0.0954053566555271
"54","lightgreen","HDbyO_FC1.25__","User",7,0.00171072469662324,0.191601166021803
"55","lightgreen","MSbyO_FC1.25__","User",12,0.000769163888639499,0.0861463555276239
"56","lightgreen","PDbyO_FC1.25__","User",1,0.972514503729507,1
"57","lightyellow","ADbyO_FC1.25__","User",0,1,1
"58","lightyellow","HDbyO_FC1.25__","User",3,0.222507630514925,1
"59","lightyellow","MSbyO_FC1.25__","User",0,1,1
"60","lightyellow","PDbyO_FC1.25__","User",0,1,1
"61","magenta","ADbyO_FC1.25__","User",3,0.97300293743201,1
"62","magenta","HDbyO_FC1.25__","User",4,0.861940932286841,1
"63","magenta","MSbyO_FC1.25__","User",3,0.999943898505995,1
"64","magenta","PDbyO_FC1.25__","User",6,0.987799702523683,1
"65","midnightblue","ADbyO_FC1.25__","User",6,0.159583108392886,1
"66","midnightblue","HDbyO_FC1.25__","User",6,0.098880785922751,1
"67","midnightblue","MSbyO_FC1.25__","User",23,1.87912755050417e-06,0.000210462285656467
"68","midnightblue","PDbyO_FC1.25__","User",14,0.00664581753042743,0.744331563407872
"69","orange","ADbyO_FC1.25__","User",0,1,1
"70","orange","HDbyO_FC1.25__","User",0,1,1
"71","orange","MSbyO_FC1.25__","User",1,0.944666338872613,1
"72","orange","PDbyO_FC1.25__","User",3,0.465790855488658,1
"73","pink","ADbyO_FC1.25__","User",4,0.924028976332259,1
"74","pink","HDbyO_FC1.25__","User",3,0.9463027457536,1
"75","pink","MSbyO_FC1.25__","User",7,0.989590565566282,1
"76","pink","PDbyO_FC1.25__","User",16,0.196321722774364,1
"77","purple","ADbyO_FC1.25__","User",2,0.984431533372932,1
"78","purple","HDbyO_FC1.25__","User",0,1,1
"79","purple","MSbyO_FC1.25__","User",1,0.999996475689896,1
"80","purple","PDbyO_FC1.25__","User",3,0.998834460849373,1
"81","red","ADbyO_FC1.25__","User",23,0.00014110592273501,0.0158038633463211
"82","red","HDbyO_FC1.25__","User",19,0.000975134521920864,0.109215066455137
"83","red","MSbyO_FC1.25__","User",60,2.12996133980406e-14,2.38555670058054e-12
"84","red","PDbyO_FC1.25__","User",4,0.999989022033394,1
"85","royalblue","ADbyO_FC1.25__","User",0,1,1
"86","royalblue","HDbyO_FC1.25__","User",1,0.801912599966883,1
"87","royalblue","MSbyO_FC1.25__","User",0,1,1
"88","royalblue","PDbyO_FC1.25__","User",1,0.965392737368847,1
"89","salmon","ADbyO_FC1.25__","User",1,0.989632048012758,1
"90","salmon","HDbyO_FC1.25__","User",0,1,1
"91","salmon","MSbyO_FC1.25__","User",4,0.982340673676513,1
"92","salmon","PDbyO_FC1.25__","User",3,0.988257931351753,1
"93","skyblue","ADbyO_FC1.25__","User",0,1,1
"94","skyblue","HDbyO_FC1.25__","User",0,1,1
"95","skyblue","MSbyO_FC1.25__","User",0,1,1
"96","skyblue","PDbyO_FC1.25__","User",0,1,1
"97","tan","ADbyO_FC1.25__","User",47,1.61905649122365e-32,1.81334327017048e-30
"98","tan","HDbyO_FC1.25__","User",17,2.08296642389131e-06,0.000233292239475827
"99","tan","MSbyO_FC1.25__","User",25,4.98921551808918e-05,0.00558792138025988
"100","tan","PDbyO_FC1.25__","User",11,0.312973805606351,1
"101","turquoise","ADbyO_FC1.25__","User",4,0.999999296294191,1
"102","turquoise","HDbyO_FC1.25__","User",16,0.705138180408461,1
"103","turquoise","MSbyO_FC1.25__","User",22,0.999853888603261,1
"104","turquoise","PDbyO_FC1.25__","User",54,0.00196645427246184,0.220242878515726
"105","white","ADbyO_FC1.25__","User",1,0.691630119151477,1
"106","white","HDbyO_FC1.25__","User",2,0.269780006668928,1
"107","white","MSbyO_FC1.25__","User",0,1,1
"108","white","PDbyO_FC1.25__","User",5,0.0605370910634341,1
"109","yellow","ADbyO_FC1.25__","User",3,0.998599042203581,1
"110","yellow","HDbyO_FC1.25__","User",4,0.983470666180984,1
"111","yellow","MSbyO_FC1.25__","User",6,0.999985227045352,1
"112","yellow","PDbyO_FC1.25__","User",25,0.0910247614708621,1
