"","PSID","Gene","Module"
"TTR","TTR","TTR","HuAgeMSNDsplit_01"
"HBB","HBB","HBB","HuAgeMSNDsplit_01"
"RNF17","RNF17","RNF17","HuAgeMSNDsplit_02"
"HSPA1A","HSPA1A","HSPA1A","HuAgeMSNDsplit_16"
"GSTM1","GSTM1","GSTM1","HuAgeMSNDsplit_01"
"CRABP1","CRABP1","CRABP1","HuAgeMSNDsplit_08"
"SLC13A4","SLC13A4","SLC13A4","HuAgeMSNDsplit_08"
"S100A8","S100A8","S100A8","HuAgeMSNDsplit_04"
"RGS1","RGS1","RGS1","HuAgeMSNDsplit_04"
"DSP","DSP","DSP","HuAgeMSNDsplit_08"
"TNFRSF11B","TNFRSF11B","TNFRSF11B","HuAgeMSNDsplit_08"
"S100A12","S100A12","S100A12","HuAgeMSNDsplit_04"
"MT2A","MT2A","MT2A","HuAgeMSNDsplit_02"
"LTF","LTF","LTF","HuAgeMSNDsplit_03"
"GFRA3","GFRA3","GFRA3","HuAgeMSNDsplit_03"
"HLA-DRB1","HLA-DRB1","HLA-DRB1","HuAgeMSNDsplit_02"
"PTGDS","PTGDS","PTGDS","HuAgeMSNDsplit_08"
"F13A1","F13A1","F13A1","HuAgeMSNDsplit_08"
"DEFB1","DEFB1","DEFB1","HuAgeMSNDsplit_08"
"MT1G","MT1G","MT1G","HuAgeMSNDsplit_02"
"SELE","SELE","SELE","HuAgeMSNDsplit_02"
"SLC6A20","SLC6A20","SLC6A20","HuAgeMSNDsplit_08"
"MUTYH","MUTYH","MUTYH","HuAgeMSNDsplit_01"
"S100A9","S100A9","S100A9","HuAgeMSNDsplit_04"
"TMPRSS5","TMPRSS5","TMPRSS5","HuAgeMSNDsplit_02"
"SLC1A7","SLC1A7","SLC1A7","HuAgeMSNDsplit_02"
"APOD","APOD","APOD","HuAgeMSNDsplit_08"
"CLU","CLU","CLU","HuAgeMSNDsplit_20"
"CXCL1","CXCL1","CXCL1","HuAgeMSNDsplit_02"
"PLA2G2A","PLA2G2A","PLA2G2A","HuAgeMSNDsplit_08"
"PCK1","PCK1","PCK1","HuAgeMSNDsplit_04"
"IGF2","IGF2","IGF2","HuAgeMSNDsplit_08"
"SNCB","SNCB","SNCB","HuAgeMSNDsplit_03"
"BMP4","BMP4","BMP4","HuAgeMSNDsplit_08"
"SERPINA3","SERPINA3","SERPINA3","HuAgeMSNDsplit_22"
"CRYAB","CRYAB","CRYAB","HuAgeMSNDsplit_16"
"IL1R2","IL1R2","IL1R2","HuAgeMSNDsplit_04"
"MBP","MBP","MBP","HuAgeMSNDsplit_06"
"MARCO","MARCO","MARCO","HuAgeMSNDsplit_08"
"ADM","ADM","ADM","HuAgeMSNDsplit_02"
"SIX1","SIX1","SIX1","HuAgeMSNDsplit_08"
"PPBP","PPBP","PPBP","HuAgeMSNDsplit_02"
"CHI3L1","CHI3L1","CHI3L1","HuAgeMSNDsplit_22"
"VNN2","VNN2","VNN2","HuAgeMSNDsplit_04"
"GLP1R","GLP1R","GLP1R","HuAgeMSNDsplit_02"
"SLN","SLN","SLN","HuAgeMSNDsplit_01"
"CYP1B1","CYP1B1","CYP1B1","HuAgeMSNDsplit_08"
"BAG3","BAG3","BAG3","HuAgeMSNDsplit_16"
"KDR","KDR","KDR","HuAgeMSNDsplit_08"
"FMOD","FMOD","FMOD","HuAgeMSNDsplit_08"
"OR7A5","OR7A5","OR7A5","HuAgeMSNDsplit_02"
"PF4","PF4","PF4","HuAgeMSNDsplit_02"
"CRYBB2","CRYBB2","CRYBB2","HuAgeMSNDsplit_01"
"DDX17","DDX17","DDX17","HuAgeMSNDsplit_02"
"MRC1","MRC1","MRC1","HuAgeMSNDsplit_08"
"CXCL2","CXCL2","CXCL2","HuAgeMSNDsplit_02"
"GTF2A1","GTF2A1","GTF2A1","HuAgeMSNDsplit_01"
"SAGE1","SAGE1","SAGE1","HuAgeMSNDsplit_01"
"EGR1","EGR1","EGR1","HuAgeMSNDsplit_15"
"POU4F2","POU4F2","POU4F2","HuAgeMSNDsplit_02"
"VIM","VIM","VIM","HuAgeMSNDsplit_04"
"ANGPT2","ANGPT2","ANGPT2","HuAgeMSNDsplit_02"
"ANGPTL4","ANGPTL4","ANGPTL4","HuAgeMSNDsplit_02"
"TDGF1","TDGF1","TDGF1","HuAgeMSNDsplit_06"
"WIF1","WIF1","WIF1","HuAgeMSNDsplit_01"
"CP","CP","CP","HuAgeMSNDsplit_22"
"NR4A1","NR4A1","NR4A1","HuAgeMSNDsplit_15"
"DNAJB1","DNAJB1","DNAJB1","HuAgeMSNDsplit_16"
"SLC18A2","SLC18A2","SLC18A2","HuAgeMSNDsplit_18"
"EGR2","EGR2","EGR2","HuAgeMSNDsplit_15"
"CD34","CD34","CD34","HuAgeMSNDsplit_02"
"MYL9","MYL9","MYL9","HuAgeMSNDsplit_02"
"SLCO4A1","SLCO4A1","SLCO4A1","HuAgeMSNDsplit_14"
"SNAP25","SNAP25","SNAP25","HuAgeMSNDsplit_01"
