"","ref.A.inColumnsAlsoPresentIn.B.moduleSize","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonfsummary.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonfdensity.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonfconnectivity.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.propVarExplained.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.meanSignAwareKME.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.meanSignAwareCorDat.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.meanAdj.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.meanClusterCoeff.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.meanMAR.pres","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.cor.kIM","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.cor.kME","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.cor.kMEall","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.cor.cor","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.cor.clusterCoeff","ref.A.inColumnsAlsoPresentIn.B.log.p.Bonf.cor.MAR"
"gold",100,-1.1377290277138,0,-2.27545805542761,0,0,-7.72828715410087,0,NA,0,-2.27545805542761,0,-20.5375506785864,-16.3417830487517,NA,-2.91165369805604
"HuAgeMSNDsplit_00",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HuAgeMSNDsplit_01",1561,-24.4945025800785,-3.73854666474007,-45.2504584954169,-1.6599156893274,-5.81717764015274,-143.211722976802,0,NA,0,-15.7639993136428,-45.2504584954169,-65.436374217793,-482.460325274533,NA,-0.580833299228484
"HuAgeMSNDsplit_02",1161,-2.0911122764894,-2.97733353154899,-1.2048910214298,0,-5.95466706309798,-84.1595055668467,0,NA,0,-1.2048910214298,-0.561125150985452,-11.2231636618775,-223.68934967854,NA,-6.40043932721636
"HuAgeMSNDsplit_03",625,-21.0559920225079,-6.78469991289055,-35.3272841321253,-4.32967783682737,0,-22.7424700829713,-9.23972198895374,NA,0,-35.3272841321253,-3.61326427540181,-23.3617226861285,-140.863216492421,NA,-37.3569026179975
"HuAgeMSNDsplit_04",282,-289.646989764344,-546.689510718832,-32.6044688098566,-116.293132602444,-70.6107774542859,-977.08588883522,-2238.3240287691,NA,-29.8482702839337,-18.3823542358919,-32.6044688098566,-238.243476408315,-319.194346517681,NA,-29.8796103607383
"HuAgeMSNDsplit_05",252,-5.63366223578323,0,-11.2673244715665,0,0,-7.24581710090136,0,NA,0,-0.0383999737903395,-11.2673244715665,-12.2205455041248,-69.3897634791787,NA,0
"HuAgeMSNDsplit_06",197,-68.4325950861075,-56.9630513755686,-79.9021387966464,-24.1726425705359,-8.08118110461298,-89.7534601806012,-242.257849883545,NA,-8.84907452472087,-15.3646369800827,-79.9021387966464,-117.432089289113,-327.934261484203,NA,-13.4353802216418
"HuAgeMSNDsplit_07",165,-38.6341020615228,-65.4436560957559,-11.8245480272896,-28.469969676456,-33.6799846665922,-227.606286171739,-97.2073275249196,NA,-1.46578171485338,-5.48460564125225,-11.8245480272896,-264.717009144979,-98.7365069415592,NA,-2.72814110027386
"HuAgeMSNDsplit_08",137,-320.717132201246,-614.017158803527,-27.4171055989653,-247.753359884736,-56.7676198399846,-980.280957722317,-8286.52468028592,NA,-49.7477877099844,-14.5262765272735,-27.4171055989653,-589.391055178956,-228.426178762881,NA,-9.97008495686131
"HuAgeMSNDsplit_09",148,-9.75035587936997,-17.7154438226957,-1.7852679360442,-17.3905090568952,-8.44334738494857,-42.8942905152262,-18.0403785884963,NA,0,-1.7852679360442,-1.58454561431256,-38.5971418131748,-51.9115019310308,NA,-2.49590475656729
