"","Var1","Freq"
"1","HuAgeMSNDsplitRnaseq_00",2
"2","HuAgeMSNDsplitRnaseq_01",3240
"3","HuAgeMSNDsplitRnaseq_02",1850
"4","HuAgeMSNDsplitRnaseq_03",1690
"5","HuAgeMSNDsplitRnaseq_04",1668
"6","HuAgeMSNDsplitRnaseq_05",1638
"7","HuAgeMSNDsplitRnaseq_06",1586
"8","HuAgeMSNDsplitRnaseq_07",1177
"9","HuAgeMSNDsplitRnaseq_08",1115
"10","HuAgeMSNDsplitRnaseq_09",1112
"11","HuAgeMSNDsplitRnaseq_10",956
"12","HuAgeMSNDsplitRnaseq_11",875
"13","HuAgeMSNDsplitRnaseq_12",812
"14","HuAgeMSNDsplitRnaseq_13",714
"15","HuAgeMSNDsplitRnaseq_14",669
"16","HuAgeMSNDsplitRnaseq_15",581
"17","HuAgeMSNDsplitRnaseq_16",424
"18","HuAgeMSNDsplitRnaseq_17",384
"19","HuAgeMSNDsplitRnaseq_18",314
"20","HuAgeMSNDsplitRnaseq_19",298
"21","HuAgeMSNDsplitRnaseq_20",294
"22","HuAgeMSNDsplitRnaseq_21",276
"23","HuAgeMSNDsplitRnaseq_22",247
"24","HuAgeMSNDsplitRnaseq_23",229
"25","HuAgeMSNDsplitRnaseq_24",224
"26","HuAgeMSNDsplitRnaseq_25",224
"27","HuAgeMSNDsplitRnaseq_26",200
"28","HuAgeMSNDsplitRnaseq_27",186
"29","HuAgeMSNDsplitRnaseq_28",105
